"","Iter","Placette","PlacetteID","Latitude","Longitude","Annee_Inventaire","Sup_PE","MCH","Residuel","Annee","Annee_Coupe","Temps","Temps_depuis_coupe","ntrt","origTreeID","ArbreID","Espece","GrEspece","Etat","Nombre","DHPcm","ST_m2","Hautm","Vol_dm3","Prod","Vig","Vigueur","ABCD","MSCR"
"1",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,12,1,"ERS","ERS","vivant",1,10.8,0.00916088417786784,10.2507957561118,23.0119936559664,"pate","NONVIG",4,"","M"
"2",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,86,2,"ERS","ERS","vivant",1,10.8,0.00916088417786784,13.6758058589398,30.797200922323,"pate","NONVIG",4,"","M"
"3",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,160,3,"ERS","ERS","vivant",1,10.8,0.00916088417786784,7.92348471634601,17.8640259483193,"pate","NONVIG",4,"","M"
"4",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,41,4,"ERS","ERS","vivant",1,11.8,0.0109358840271461,10.7892506349687,33.4697841694491,"pate","ViG",2,"","C"
"5",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,115,5,"ERS","ERS","vivant",1,11.8,0.0109358840271461,13.9714668135922,43.2149874099391,"pate","ViG",2,"","R"
"6",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,1,6,"ERS","ERS","vivant",1,18.7,0.0274645883758454,12.2001336963679,125.827601289608,"pate","NONVIG",4,"","M"
"7",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,75,7,"ERS","ERS","vivant",1,18.7,0.0274645883758454,14.0485388887334,145.098840359978,"pate","NONVIG",4,"","M"
"8",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,149,8,"ERS","ERS","vivant",1,18.7,0.0274645883758454,14.5192878353773,149.844418922376,"pate","NONVIG",4,"","S"
"9",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,65,9,"ERS","ERS","vivant",1,20.5,0.0330063578167778,15.966069375664,201.856050851849,"sciage","ViG",1,"","R"
"10",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,139,10,"ERS","ERS","vivant",1,20.5,0.0330063578167778,15.2186801867149,192.466692545731,"sciage","ViG",1,"","R"
"11",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,5,11,"ERS","ERS","vivant",1,21,0.0346360590058275,12.0824733799379,160.899829811271,"pate","NONVIG",4,"","M"
"12",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,79,12,"ERS","ERS","vivant",1,21,0.0346360590058275,16.7087829293352,222.619853319516,"pate","NONVIG",4,"","M"
"13",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,153,13,"ERS","ERS","vivant",1,21,0.0346360590058275,15.8488263801084,211.053625017455,"pate","NONVIG",4,"","S"
"14",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,57,14,"ERS","ERS","vivant",1,24.6,0.04752915525616,14.0743208856843,262.805407236761,"sciage","ViG",1,"C","C"
"15",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,131,15,"ERS","ERS","vivant",1,24.6,0.04752915525616,19.0074482775096,354.870629922189,"sciage","ViG",1,"C","C"
"16",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,33,16,"ERS","ERS","vivant",1,25.3,0.0502725510409073,18.6606270900916,369.488612109757,"sciage","ViG",1,"C","R"
"17",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,107,17,"ERS","ERS","vivant",1,25.3,0.0502725510409073,13.9184731051297,275.714188229898,"sciage","ViG",1,"C","R"
"18",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,181,18,"ERS","ERS","vivant",1,25.3,0.0502725510409073,14.4441212838082,286.189278199025,"sciage","ViG",1,"C","R"
"19",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,74,19,"ERS","ERS","vivant",1,28.9,0.0655972400051183,16.2927707393021,425.695221960734,"sciage","ViG",1,"C","R"
"20",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,148,20,"ERS","ERS","vivant",1,28.9,0.0655972400051183,17.8992662185337,467.575703667436,"sciage","ViG",1,"C","C"
"21",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,29,21,"ERS","ERS","vivant",1,29.7,0.0692791865951255,15.2507642846445,421.381795368777,"sciage","ViG",1,"C","R"
"22",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,103,22,"ERS","ERS","vivant",1,29.7,0.0692791865951255,16.6391991005902,459.913580912268,"sciage","ViG",1,"C","C"
"23",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,177,23,"ERS","ERS","vivant",1,29.7,0.0692791865951255,12.8903967007398,356.224665033317,"sciage","ViG",1,"C","C"
"24",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,47,24,"ERS","ERS","vivant",1,31.8,0.0794226038754036,19.6088555589284,623.361327466862,"sciage","NONVIG",3,"C","S"
"25",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,121,25,"ERS","ERS","vivant",1,31.8,0.0794226038754036,15.1357582791112,481.21173771607,"sciage","NONVIG",3,"C","S"
"26",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,11,26,"ERS","ERS","vivant",1,34.8,0.0951148591800846,17.1351527920994,654.729541985976,"sciage","ViG",1,"B","C"
"27",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,85,27,"ERS","ERS","vivant",1,34.8,0.0951148591800846,17.9474207629881,685.967059611734,"sciage","ViG",1,"C","C"
"28",1,"TEM23APC5000","TEM23APC5000_1",46.7,-75,2025,0.25,NA,0,2025,NA,0,NA,0,159,28,"ERS","ERS","vivant",1,34.8,0.0951148591800846,17.7485760605497,678.322182721933,"sciage","ViG",1,"B","R"
